request,type
Add meeting next Thursday at 2PM,create_event
Plan for a two hour event on Wednesday,create_event
Add lunch with Kat from 3 to 4,create_event
plan meeting at 4 on Wednesday,create_event
Add work on Tuesday from 5 to 9 for the next two weeks,create_event
Set event at 10 to give something to Crystal?,create_event
Add dinner with kids at 4 on Saturday,create_event
Add an appointment on the 26th at 9am.,create_event
Create event to check email at 7pm,create_event
Add visit mom at 10am on tuesday,create_event
Set up a meeting w mom next friday,create_event
Schedule dinner with mother at 8-10PM,create_event
schedule call mom at 10 PM this Saturday,create_event
create event for phone screen next sunday at 10am,create_event
Schedule a meeting for tomorrow at 5 PM,create_event
Plan conference with Fletcher Thursday at 2:00,create_event
Create meeting with Dan at 10am,create_event
add class at 8 AM Monday to Friday until July,create_event
add meeting at 2pm next Tuesday,create_event
schedule submit paper in three days,create_event
Add event to call Dr. Smith about appointment at 6am,create_event
Create event for vacation during the last week of December,create_event
"Add Birthday Brunch ,Saturday 4th. Bring drinks",create_event
Create event to do pchem homework on tuesday,create_event
Plan do laundry at 3,create_event
Add bike for 2 hours every Saturday,create_event
Add event on 11/11 at 2 pm - 2 hr meeting for boss,create_event
Schedule kitchen cleaning for 11/2 at 3,create_event
Create event - driver's ed tomorrow at 10,create_event
add event - parents' anniversary is in 3 weeks,create_event
Create event - visiting mom next tuesday from 10am to 5pm,create_event
Mark my calendar for cousin's wedding,create_event
add meeting at 4 on Wed,create_event
create event 10-12 pm wedneaday,create_event
Add that I have a meeting on Tuesdays at 3PM,create_event
Add Exam next Wednesday on 3pm,create_event
Add gym everyday at 7 for my hour long pilates class,create_event
"Put down ""marketing meeting at 4pm"" for next Monday please",create_event
Add an event to the 25 please?,create_event
Add test tomorrow at noon,create_event
new event food fair at the student center on Sunday at 7 pm,create_event
new event seeing mom at 3,create_event
"Add ""SGI"" every Tuesday from 3pm to 3:45pm",create_event
add class at 4.,create_event
Add my 9am appointment to my calendar,create_event
Add SWE event on October 5th at 7 pm at the Student Center,create_event
"Put ""study group"" in my calendar",create_event
new dinner with andrew after 730,create_event
Block out Saturday for Liz's wedding,create_event
add working papers due next friday,create_event
add team meeting Wednesday from 3:45 to 6 pm,create_event
Create a weekly meeting with the administration on Monday at 3pm,create_event
Schedule visit parents this weekend from Friday to Sunday.,create_event
Schedule Meet advisor Monday 9:30AM,create_event
add studying friday morning,create_event
Add grocery shopping tomorrow night,create_event
new event - Controls homework tomorrow at 9PM for three hours.,create_event
"Add Math class every Monday, Wednesday and Friday from 9 to 10am",create_event
"Create an event on October 23rd, from 10 am to 1 pm. Call it ""theme park adventure""",create_event
I need you to make an event for this speaker at 1:00am,create_event
Add seminar every Wednesday at 3 pm,create_event
Add doctor's appointment next Wednesday at 11am to my calendar,create_event
add college fair tomorrow at 6 at Javits Center,create_event
Create event see doctor next week Monday 3pm,create_event
Create meeting with board members 4pm,create_event
Add the event on Sunday from 3 to 4 PM,create_event
"Add Math homework due Thursday, October 27th",create_event
Add event study for math tomorrow at 4 pm,create_event
Create event during 8am to 11am on Sundays.,create_event
Add Jane's birthday on  December 1st,create_event
"Next Tuesday, add do physics homework",create_event
staples at 5 tmrw - new event,create_event
7am to 8 pm study - add calendar,create_event
Invite Matt to lunch tomorrow at noon,create_event
eating 4 to 5 tomorrow - add to calendar,create_event
please add the event to my schedule,create_event
add an event for tomorrow: lunch with Jamie at noon,create_event
meeting tomorrow at 12pm - create event,create_event
I will meet Steve at Bluestone Lane tomorrow at 11:00 AM - create event,create_event
create event to outline anatomy chapter 5 reading for thursday,create_event
Add Nelly's funeral on 8th 10am,create_event
add October 14 event all day,create_event
Schedule a meeting with my boss on 11/23 at 5pm to 7pm,create_event
Schedule meeting with clients at 8:30 am at harbs on tuesdays ,create_event
Add Monday's meeting at 10 to my calendar.,create_event
Schedule go to my grandmother's house on Sunday,create_event
Add lunch with my parents at 2 pm. Make that my priority for today.,create_event
Schedule do homeworks 1 2 and 3 at 5 pm,create_event
Add meeting for Friday at 3 for 2 hours,create_event
Create an event that repeats every Monday at 9 am. Name it marketing meeting.,create_event
Set a meeting at 2pm this Sunday,create_event
Set an event - project at 5 tonight,create_event
"Add meeting with calculus professor, next monday at 2pm",create_event
"Add Spirited Away screening on Friday at midnight, please",create_event
Put my business meeting on my calendar for tomorrow at 7,create_event
add Code for Good meeting every Monday at 8 pm,create_event
Create an event called marketing for every Monday at 4pm,create_event
Could you add an event for Next Saturday? BBQ at Jim's House.,create_event
Please add conference call at 2pm next Friday.,create_event
"There is a KCON concert tomorrow at 5pm, add that to my calendar.",create_event
Schedule robotics meeting at 3:45pm on Monday.,create_event
Schedule going to target at 8,create_event
"Add ""Lunch with Kristin"" at 1:30pm to my calendar",create_event
Add grocery shopping after work at 5pm.,create_event
Add an event at 4 Pm Wednsday,create_event
Add start studying at 8pm,create_event
Add do questions 3 and 4 on thursday,create_event
Add a class that's every day from 6pm-10pm for Second English Language,create_event
Can you add a two hour meeting from 1 to 3 tomorrow to my calendar?,create_event
I need team dinner scheduled for 4:00,create_event
"I need you to schedule my dinner with family at Ruby Tuesday on Thursday the 11th, 8:50",create_event
please add doctors appointment next Monday at 9am,create_event
schedule meeting with bob sacomano monday at 9am,create_event
add Instructor lunch meeting Friday,create_event
"If I have the time, schedule me for an interview tomorrow at 1pm.",create_event
Please add workout session from noon to one this Saturday to the calendar,create_event
I need my Thursday noon haircut scheduled,create_event
Add tutoring Friday at 9,create_event
Schedule a meeting for me on November 1,create_event
"Add an event, November 12, 6pm, 2 hours, Dinner with Lauren",create_event
add hot date thursday at 3,create_event
Create event - Stand up every weekday at 11am except Fridays,create_event
Add doctor's appointment at 10am Nov. 7.,create_event
Please set an event for watching a movie with the gf on Friday night.,create_event
Add a meeting to my calendar on Friday at 10 am,create_event
Set up a meeting with Lando at 1 today,create_event
Add work meeting every Monday morning from 9 to 10,create_event
Schedule Taking Mom to visit her doctor on Dec. 19th for 1.5 hour,create_event
add watching game of thrones every week,create_event
I've got an appointment every Tuesday at 7:15 am. Can you create an event for that?,create_event
Set up meeting Jess for dinner Friday at 6 at Protos,create_event
Schedule 1 hour meeting with Evan next thursday at earliest time after noon,create_event
Schedule 2pm interview for Wednesday the 5th,create_event
"add Lion King at 7pm on November 12, location San Francisco Masonic Theater",create_event
New dinner with Linda at 7pm on Friday at Avec.,create_event
Add vacation this week,create_event
Please add our weekly stand up as a recurring event for Wednesday's at 10:00am,create_event
Book a ticket home this week  for Thanksgiving,create_event
I have a meeting Thursday at four. can you add that?,create_event
Dr apt at 4:00 on Nov. 3 - new event,create_event
new event - meeting with the Anderson's at 4:00pm next Tuesday.,create_event
add party at 3 on friday,create_event
I'm going to DenverScript tonight. can you schedule that?,create_event
My dog has an appointment at the vet tomorrow at 3. please add to calendar,create_event
Picking mom at the airport tomorrow at 315 - new event,create_event
8 AM buy tampons (for today) - new event,create_event
create event - ballroom dance every thursday,create_event
Add go to class on Saturday at 8am,create_event
Please put an appointment in the calendar for Friday at 2pm,create_event
Schedule Lunch at 1,create_event
Schedule on Sundays: Change Frank's tank water 3pm,create_event
Please put this event on my calendar.,create_event
Can you add a group meeting at 4 until 5 this Wednesday in the ugli,create_event
Can you add wake up on saturday at 11am,create_event
"If the spot is available, add an event for tomorrow night.",create_event
Meeting with Grace needs to be scheduled on October 25 10am for 1 hour,create_event
Create an event next friday from 3 to 8 pm,create_event
Create event group meeting for next Monday 5-7pm,create_event
Pencil me in for Wednesday at 5 PM,create_event
"Tomorrow, I have an event from 2 to 4 pm. can you mark that on the calendar?",create_event
Kelsey wants me to go to lunch with her at noon on the 27th - mark that on my agenda,create_event
"Go to conference at 2 pm next Thursday, label event blue - add to agenda",create_event
I have frisbee at 10 tuesday - please add to agenda,create_event
Add tennis club for 1pm this Saturday,create_event
Add Dinner with Friends this Friday at 6pm.,create_event
"On 11/2 at 4 on my calendar,  mark that I have a meeting.",create_event
"6 PM, mark on calendar for shopping",create_event
Make an event for 10am-3pm,create_event
Goals Meeting with my boss on Thursday at 1pm. please add to calendar,create_event
add event for Wednesday 3pm: visit Juno,create_event
Add Study with friends on Wednesday at 2,create_event
please add connect event at student activities center from 1pm to 2pm,create_event
add meeting at 5 PM.,create_event
Schedule me for 5-6PM for school every day,create_event
Add HoQo Meeting from 8-9 to 9-10 just for this coming monday,create_event
Add party from 11pm to 1am Friday night,create_event
Schedule doctor's appointment on november 11th at 10am,create_event
put me down for dinner at suzy's next thursday.,create_event
Schedule dentist appointment monthly 10am on the 15th,create_event
Mark down office hours in currier 121 at 8 on calendar,create_event
Mark down that I have an appointment on the 25th,create_event
"Add shopping at QCM, this friday afternoon",create_event
Add race on Friday at 4pm,create_event
Make an appointment,create_event
Schedule Family visit June first,create_event
Mark the party for the 27th at 6pm on my calendar,create_event
Can you set up a cost savings meeting with Gary at 2pm today?,create_event
Schedule calling dad next Sunday at 3pm,create_event
Add event every Thursday at 2PM from now on,create_event
"Add class every Monday Wednesday Friday from 9:30 am to 12:20 am until December 4th, 2016",create_event
Schedule interview with Google tomorrow at 6pm,create_event
Add in a meeting at 4 this Wednesday,create_event
Add a meeting this Tuesday at 4pm,create_event
Schedule helping out every Monday from 7-8,create_event
add budgets due last day of October,create_event
Set an event to call Joe at 3pm.,create_event
New event visiting mom at 10am next tuesday,create_event
On sept 5 add that i have a robotics meeting,create_event
Add English class to my schedule next Wednesday at 4 Pm for an hour,create_event
Add club meeting every wednesday 6pm to 7pm,create_event
Schedule Logic Group 8:15 pm Tuesday,create_event
New meeting on 27th lasts for 3 hours at 4,create_event
Add meeting today at 8,create_event
Schedule dinner with Sarah at 11 Friday,create_event
"Set up a reoccurring meeting for 3PM with Bob called ""Bob:Nicole Weekly""",create_event
Add fundraising event for next Thursday,create_event
Schedule Dentist appointment,create_event
Add pchem homework due tuesday,create_event
Add event - 11/11 2 pm for 2 hrs; meeting with boss,create_event
Make dentist appointment on my calendar for april 3 at 3,create_event
Mark down that Homework due next tuesday,create_event
Schedule rehearsal every night at 6 for 2 hours until December,create_event
Schedule a visit with mom next Tuesday at 10am,create_event
Add to my calendar,create_event
"Add event at 3 for me, label it as ""music rehearsal""",create_event
Add do homework in two hours,create_event
Add that I work on Friday from 4PM to 11PM,create_event
Schedule Math test next Thursday,create_event
"I'd like you to add ""marketing meeting"" to my schedule for next Monday",create_event
Add an event to the 26th,create_event
New event call mom tomorrow afternoon,create_event
create event meet Shreya for breakfast at 8 am tomorrow,create_event
Put on my calender speaking at Bronx Science 7pm,create_event
Can you add a meeting on my calendar for Tuesday 10P.M?,create_event
Add Register for Classes Nov 9th at 830am,create_event
Add Robotics meeting every Saturday.,create_event
Create fundraising event,create_event
Schedule KATAKANA QUIZ 4pm tomorrow,create_event
Schedule a doctor's appointment for me next Wednesday at 3 pm,create_event
Pencil me in for meeting with admin from 3:00-5:00 on Monday,create_event
Add my dad's birthday on November 1st.,create_event
Schedule learning and conditioning exam 2 next Friday 11/4,create_event
Add Industrial Design homework Wednesday at 10PM for five hours,create_event
New event - ten minute meeting tomorrow at 4:30pm,create_event
Create an event and call it theme park adventure. The date is october 23rd and the time is from 10 am to 1 pm,create_event
new - going to 280 lecture at 4:00pm Wednesday for an hour and a half,create_event
Add volunteer every Saturday at 10 am,create_event
Schedule a project checkpoint every Tuesday for the next 3 weeks,create_event
Add party on Saturday at 8,create_event
Can you add a robotics meeting from 3-6 every Tuesday?,create_event
mark that I'm out on vacation Jan 1 to Jan 10,create_event
Schedule travel to India at 9am,create_event
Would you add meetings for every Monday at 8 at night?,create_event
Add a doctor's appointment to my schedule tomorrow at 8 am.,create_event
new event at 8 in the morning next Monday,create_event
new event on calender 4pm tomorrow study,create_event
Add a meeting after my 6pm coffee meet with John.,create_event
new event- going to the doctor's next thursday at noon,create_event
Make an event for my Spanish presentation at 3 next thursday,create_event
new - Run at mont royal for 30 min from 6pm,create_event
Schedule a meeting for 3 oclock every wednesday,create_event
add this event at Burger King from 2 to 3 on the day after tomorrow,create_event
could you add the event on my schedule?,create_event
add an event to call nancy at 1 for a conference,create_event
"dinner, oct 15, at 6pm - new",create_event
Create meeting on the second Thursday of every month,create_event
add project 2 due October 27,create_event
Add 8 mile run 5 AM tomorrow,create_event
Schedule party at Berkeley at 9 on the 12th,create_event
Add Finish project due 31 December,create_event
Mark Tuesday 5pm to 7pm busy. Meeting with my boss.,create_event
Mark down family dim sum sundays at flushing at 9 am,create_event
Make a meeting at 10 on Monday.,create_event
Schedule clean out the refridgerator every other day,create_event
new event -try to understand circuit at 8,create_event
I have a marketing meeting tomorrow at 9 am. can you shedule that?,create_event
Schedule a time for dinner on the 28th,create_event
"Monday 2pm, calculus professor - add to calendar",create_event
"Class on Monday, Wednesdays @ 9:05 a.m. - add",create_event
Add my volleyball game for next thursday at 9 pm,create_event
PSet due at 9pm on Tuesday - add,create_event
Add event called marketing meeting to calendar every Monday at 4pm,create_event
"Add an event for Saturday the 29th, at Jim's House? Barbecue.",create_event
Schedule meeting tomorrow at 4pm.,create_event
Add a reminder to buy that thing on friday at 11 am,create_event
"Put ""meeting with friends"" for October 5, 2016 at 12pm.",create_event
Add 5:00pm meeting next Friday.,create_event
"Can you put in ""Lunch with Kristin"" for 1:30pm on my calendar?",create_event
Could you add an event in my calendar for Jacob's recital on wednesday at 4pm?,create_event
Mark down a conference in four days at 6PM,create_event
Add Go to gym.,create_event
add Mom's Bday on June 9,create_event
add IOE test due Friday.,create_event
Put baseball game down for 5:00,create_event
Please remember Game Night at Casey's every Saturday evening for the next six weeks,create_event
"Add to calendar, doctors appointment Monday at 9am",create_event
create recurring meeting lunch every weekday from noon to 1pm,create_event
new event - Board meeting all morning Monday,create_event
"I'm going to be having dinner with some friends tomorrow night at 7pm, can you block that time off on my calendar so I don't get interrupted?",create_event
Add dad's birthday to the calendar. It is December 11.,create_event
Schedule haircut next thursday at noon,create_event
add Work on capstone proposals for an hour tomorrow at 5,create_event
"November 1, I have a meeting. add to calendar",create_event
I'm having dinner with Lauren November 12 at 6pm - new event,create_event
Instructor Lunch 10/23 @ 12 - new,create_event
Add review at 5 pm today.,create_event
Please add to my calender Nuggets game 8PM next Wednesday.,create_event
Set up dentist appointment 6 months from now,create_event
Add Hit the grocery store at noon on Saturday,create_event
Add trip to mom at 10am to my calendar,create_event
add Drinks with Tom tonight at 7 at Some Bar,create_event
"Shopping for birthday gift for Son's friend this Saturday, 2 hours - new event",create_event
add mom's birthday to calendar,create_event
Add a dinner date this Friday at 8pm.,create_event
Schedule shopping with mom Saturday at 2,create_event
Add 1 hour event next thursday with Evan at any free time,create_event
Block two hours on next Friday for yoga at 8am,create_event
block out november 5 for jury duty and set me as busy,create_event
Schedule eating alone for tonight.,create_event
add meeting at ten on thursday with Company A,create_event
new event - all with Jerry at 10am on Wednesday.,create_event
Set car appointment October 31 at 10:30,create_event
new calendar event: walk with megan on sunday at 2pm at wash park,create_event
Please add meeting with Bob on Monday at 3:00pm for an hour and a half,create_event
I need dinner scheduled with my parents on Thursday at 6:30 pm,create_event
schedule grocery shopping Sunday afternoon,create_event
plan dentist appointment March fourteenth at eleven thirty,create_event
Add get oil change stuff after work (today),create_event
